lines,treats,reps,box,x,y
6.HS,C,R1,box_1,7,7
1.FA,DR,R1,box_1,7,8
10.FA,HS,R1,box_1,7,9
11.FA,HS,R1,box_1,7,10
12.DA,DR,R1,box_1,8,1
8.DA,DR,R1,box_1,8,2
10.HS,DR,R1,box_1,8,3
4.FA,HS,R1,box_1,8,4
6.FA,DR,R1,box_1,8,5
2.DA,HS,R1,box_1,8,6
7.DA,HS,R1,box_1,8,7
4.DA,DR,R1,box_1,8,8
11.FA,DR,R1,box_1,8,9
3.FA,C,R1,box_1,8,10
6.DA,HS,R1,box_1,9,1
6.HS,DR,R1,box_1,9,2
4.FA,DR,R1,box_1,9,3
12.HS,HS,R1,box_1,9,4
10.FA,C,R1,box_1,9,5
1.HS,HS,R1,box_1,9,6
9.DA,C,R1,box_1,9,7
7.FA,C,R1,box_1,9,8
10.HS,C,R1,box_1,9,9
3.FA,DR,R1,box_1,9,10
5.HS,DR,R1,box_1,10,1
4.FA,C,R1,box_1,10,2
11.HS,DR,R1,box_1,10,3
10.HS,HS,R1,box_1,10,4
11.FA,C,R1,box_1,10,5
12.HS,DR,R1,box_1,10,6
3.HS,HS,R1,box_1,10,7
6.DA,DR,R1,box_1,10,8
7.HS,C,R1,box_1,10,9
1.HS,DR,R1,box_1,10,10
3.HS,HS,R2,box_2,1,1
7.FA,DR,R2,box_2,1,2
1.DA,HS,R2,box_2,1,3
1.DA,C,R2,box_2,1,4
6.HS,DR,R2,box_2,1,5
9.FA,DR,R1,box_2,1,6
12.DA,C,R2,box_2,1,7
3.DA,C,R2,box_2,1,8
2.DA,C,R2,box_2,1,9
7.DA,HS,R2,box_2,1,10
1.DA,DR,R2,box_2,2,1
7.DA,DR,R2,box_2,2,2
5.DA,DR,R2,box_2,2,3
2.HS,C,R2,box_2,2,4
10.FA,DR,R2,box_2,2,5
7.FA,C,R2,box_2,2,6
10.HS,C,R2,box_2,2,7
7.FA,HS,R2,box_2,2,8
4.FA,HS,R2,box_2,2,9
3.DA,DR,R2,box_2,2,10
11.HS,HS,R2,box_2,3,1
10.HS,DR,R2,box_2,3,2
6.DA,DR,R2,box_2,3,3
12.FA,HS,R2,box_2,3,4
11.HS,DR,R2,box_2,3,5
10.FA,C,R2,box_2,3,6
11.FA,DR,R2,box_2,3,7
2.HS,DR,R2,box_2,3,8
10.DA,C,R2,box_2,3,9
2.FA,C,R2,box_2,3,10
4.HS,HS,R2,box_2,4,1
5.FA,DR,R2,box_2,4,2
10.FA,HS,R2,box_2,4,3
2.FA,HS,R2,box_2,4,4
9.DA,HS,R1,box_2,4,5
11.DA,C,R2,box_2,4,6
3.FA,DR,R2,box_2,4,7
10.DA,DR,R2,box_2,4,8
3.HS,DR,R2,box_2,4,9
2.HS,HS,R2,box_2,4,10
12.HS,HS,R2,box_2,5,1
8.DA,C,R2,box_2,5,2
2.DA,HS,R2,box_2,5,3
3.FA,HS,R2,box_2,5,4
5.HS,DR,R2,box_2,5,5
5.HS,HS,R2,box_2,5,6
1.FA,DR,R2,box_2,5,7
4.HS,DR,R2,box_2,5,8
4.DA,HS,R2,box_2,5,9
6.DA,HS,R2,box_2,5,10
4.FA,C,R2,box_2,6,1
12.FA,DR,R2,box_2,6,2
6.HS,HS,R2,box_2,6,3
7.HS,DR,R2,box_2,6,4
5.DA,HS,R2,box_2,6,5
6.FA,C,R2,box_2,6,6
5.DA,C,R2,box_2,6,7
4.FA,DR,R2,box_2,6,8
9.HS,DR,R1,box_2,6,9
4.DA,C,R2,box_2,6,10
7.HS,HS,R2,box_2,7,1
3.HS,C,R2,box_2,7,2
1.FA,HS,R2,box_2,7,3
6.FA,DR,R2,box_2,7,4
9.DA,DR,R1,box_2,7,5
12.DA,DR,R2,box_2,7,6
2.FA,DR,R2,box_2,7,7
8.DA,DR,R2,box_2,7,8
11.FA,HS,R2,box_2,7,9
7.DA,C,R2,box_2,7,10
9.FA,HS,R1,box_2,8,1
9.HS,C,R1,box_2,8,2
6.HS,C,R2,box_2,8,3
11.DA,DR,R2,box_2,8,4
3.DA,HS,R2,box_2,8,5
1.HS,HS,R2,box_2,8,6
5.FA,C,R2,box_2,8,7
1.FA,C,R2,box_2,8,8
12.FA,C,R2,box_2,8,9
1.HS,C,R2,box_2,8,10
10.HS,HS,R2,box_2,9,1
1.HS,DR,R2,box_2,9,2
5.FA,HS,R2,box_2,9,3
6.DA,C,R2,box_2,9,4
7.HS,C,R2,box_2,9,5
6.FA,HS,R2,box_2,9,6
10.DA,HS,R2,box_2,9,7
12.HS,DR,R2,box_2,9,8
11.DA,HS,R2,box_2,9,9
5.HS,C,R2,box_2,9,10
12.HS,C,R2,box_2,10,1
2.DA,DR,R2,box_2,10,2
12.DA,HS,R2,box_2,10,3
9.HS,HS,R1,box_2,10,4
4.HS,C,R2,box_2,10,5
3.FA,C,R2,box_2,10,6
9.FA,C,R1,box_2,10,7
11.FA,C,R2,box_2,10,8
4.DA,DR,R2,box_2,10,9
11.HS,C,R2,box_2,10,10
10.DA,DR,R3,box_3,1,1
5.DA,HS,R3,box_3,1,2
1.FA,DR,R3,box_3,1,3
10.FA,HS,R3,box_3,1,4
8.FA,C,R2,box_3,1,5
5.DA,C,R3,box_3,1,6
3.DA,HS,R3,box_3,1,7
12.HS,DR,R3,box_3,1,8
2.FA,C,R3,box_3,1,9
11.FA,C,R3,box_3,1,10
10.FA,DR,R3,box_3,2,1
1.FA,C,R3,box_3,2,2
10.DA,HS,R3,box_3,2,3
4.DA,C,R3,box_3,2,4
6.DA,DR,R3,box_3,2,5
11.HS,DR,R3,box_3,2,6
7.DA,C,R3,box_3,2,7
8.HS,C,R2,box_3,2,8
12.HS,C,R3,box_3,2,9
12.HS,HS,R3,box_3,2,10
4.FA,C,R3,box_3,3,1
10.HS,HS,R3,box_3,3,2
6.HS,HS,R3,box_3,3,3
12.DA,C,R3,box_3,3,4
3.HS,HS,R3,box_3,3,5
9.FA,DR,R2,box_3,3,6
10.HS,DR,R3,box_3,3,7
2.FA,DR,R3,box_3,3,8
4.HS,C,R3,box_3,3,9
11.HS,HS,R3,box_3,3,10
4.FA,DR,R3,box_3,4,1
3.FA,DR,R3,box_3,4,2
7.DA,HS,R3,box_3,4,3
5.FA,HS,R3,box_3,4,4
8.HS,HS,R2,box_3,4,5
2.HS,DR,R3,box_3,4,6
9.DA,DR,R2,box_3,4,7
10.FA,C,R3,box_3,4,8
11.HS,C,R3,box_3,4,9
2.DA,HS,R3,box_3,4,10
4.FA,HS,R3,box_3,5,1
9.HS,C,R2,box_3,5,2
6.FA,C,R3,box_3,5,3
9.DA,HS,R2,box_3,5,4
3.DA,DR,R3,box_3,5,5
11.FA,DR,R3,box_3,5,6
6.DA,HS,R3,box_3,5,7
9.FA,C,R2,box_3,5,8
5.HS,HS,R3,box_3,5,9
5.FA,C,R3,box_3,5,10
11.FA,HS,R3,box_3,6,1
3.DA,C,R3,box_3,6,2
1.HS,HS,R3,box_3,6,3
10.DA,C,R3,box_3,6,4
8.FA,DR,R2,box_3,6,5
3.HS,C,R3,box_3,6,6
11.DA,HS,R3,box_3,6,7
9.HS,DR,R2,box_3,6,8
9.FA,HS,R2,box_3,6,9
9.HS,HS,R2,box_3,6,10
8.FA,HS,R2,box_3,7,1
11.DA,DR,R3,box_3,7,2
12.FA,DR,R3,box_3,7,3
12.DA,DR,R3,box_3,7,4
6.FA,DR,R3,box_3,7,5
3.FA,HS,R3,box_3,7,6
12.FA,HS,R3,box_3,7,7
1.DA,DR,R3,box_3,7,8
3.FA,C,R3,box_3,7,9
4.DA,DR,R3,box_3,7,10
8.DA,HS,R2,box_3,8,1
4.DA,HS,R3,box_3,8,2
6.FA,HS,R3,box_3,8,3
2.HS,C,R3,box_3,8,4
11.DA,C,R3,box_3,8,5
12.DA,HS,R3,box_3,8,6
1.HS,C,R3,box_3,8,7
2.DA,DR,R3,box_3,8,8
1.FA,HS,R3,box_3,8,9
8.HS,DR,R2,box_3,8,10
1.HS,DR,R3,box_3,9,1
10.HS,C,R3,box_3,9,2
7.DA,DR,R3,box_3,9,3
5.FA,DR,R3,box_3,9,4
4.HS,DR,R3,box_3,9,5
1.DA,C,R3,box_3,9,6
6.HS,C,R3,box_3,9,7
2.DA,C,R3,box_3,9,8
9.DA,C,R2,box_3,9,9
1.DA,HS,R3,box_3,9,10
12.FA,C,R3,box_3,10,1
6.DA,C,R3,box_3,10,2
2.FA,HS,R3,box_3,10,3
3.HS,DR,R3,box_3,10,4
4.HS,HS,R3,box_3,10,5
5.DA,DR,R3,box_3,10,6
5.HS,C,R3,box_3,10,7
2.HS,HS,R3,box_3,10,8
5.HS,DR,R3,box_3,10,9
6.HS,DR,R3,box_3,10,10
9.DA,DR,R3,box_4,1,10
9.DA,C,R3,box_4,2,1
9.FA,HS,R3,box_4,2,4
8.DA,DR,R3,box_4,2,5
8.DA,HS,R3,box_4,3,2
9.FA,C,R3,box_4,4,3
7.FA,C,R3,box_4,4,4
7.HS,HS,R3,box_4,4,6
7.HS,C,R3,box_4,4,8
7.FA,DR,R3,box_4,4,9
8.DA,C,R3,box_4,5,3
8.FA,DR,R3,box_4,5,4
9.FA,DR,R3,box_4,5,10
9.DA,HS,R3,box_4,6,1
8.HS,DR,R3,box_4,6,9
8.HS,HS,R3,box_4,7,5
8.FA,HS,R3,box_4,7,6
8.FA,C,R3,box_4,7,8
7.HS,DR,R3,box_4,8,3
7.FA,HS,R3,box_4,8,6
9.HS,HS,R3,box_4,9,4
8.HS,C,R3,box_4,9,6
9.HS,C,R3,box_4,9,9
9.HS,DR,R3,box_4,10,2
